"2019-02-06 17:55:10 [main] INFO  i.p.pal.tracker.PalTrackApplication - Starting PalTrackApplication on USITBRIANWL2C with PID 29960 (C:\Users\brianw\workspace\pal-tracker\build\classes\java\main started by brianw in C:\Users\brianw\workspace\pal-tracker)
""2019-02-06 17:56:44 [localhost-startStop-1] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_161\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\Program Files (x86)\Google\Chrome\Application;C:\Program Files (x86)\RSA SecurID Token Common;C:\ProgramData\DockerDesktop\version-bin;C:\Program Files\Docker\Docker\Resources\bin;C:\app\client\brianw\product\12.2.0\client_1;C:\app\client\brianw\product\12.2.0\client_1\bin;C:\Program Files\Microsoft MPI\Bin\;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files\Java\jdk1.8.0_131\bin;C:\Program Files (x86)\Common Files\EMC\;C:\Program Files\Dell\Dell Data Protection\Encryption\;C:\Program Files\Microsoft SQL Server\130\Tools\Binn\;C:\Program Files\dotnet\;C:\Program Files (x86)\GtkSharp\2.12\bin;C:\Program Files\MySQL\MySQL Utilities 1.6\;C:\DevTools\apache-maven-3.5.2\bin;C:\Program Files\Microsoft SQL Server\120\Tools\Binn\;C:\Program Files\Cloud Foundry;C:\Program Files\nodejs\;C:\Program Files\Microsoft SQL Server\Client SDK\ODBC\130\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\140\Tools\Binn\;C:\Program Files\Microsoft SQL Server\140\Tools\Binn\;C:\Program Files\Microsoft SQL Server\140\DTS\Binn\;C:\Program Files (x86)\Microsoft SQL Server\Client SDK\ODBC\130\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\140\DTS\Binn\;C:\Program Files (x86)\Microsoft SQL Server\140\Tools\Binn\ManagementStudio\;C:\Program Files\Microsoft VS Code\bin;C:\ProgramData\chocolatey\bin;C:\Program Files\Git\cmd;C:\ProgramData\chocolatey\lib\gradle\tools\gradle-5.1.1\bin;C:\Program Files\Microsoft VS Code\bin;C:\Users\brianw\AppData\Local\atom\bin;C:\Users\brianw\AppData\Roaming\npm;C:\Users\brianw\AppData\Local\Microsoft\WindowsApps;C:\Users\brianw\AppData\Local\GitHubDesktop\bin;.]
""2019-02-06 17:56:44 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2019-02-06 17:56:45 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Servlet dispatcherServlet mapped to [/]
""2019-02-06 17:56:45 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
""2019-02-06 17:56:45 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
""2019-02-06 17:56:45 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
""2019-02-06 17:56:45 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
""2019-02-06 17:56:46 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
""2019-02-06 17:56:46 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 10001 (http) with context path ''
""2019-02-06 17:56:46 [main] INFO  i.p.pal.tracker.PalTrackApplication - Started PalTrackApplication in 5.386 seconds (JVM running for 6.022)
""2019-02-06 17:56:48 [http-nio-10001-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
""2019-02-06 17:57:27 [main] INFO  i.p.pal.tracker.PalTrackApplication - Starting PalTrackApplication on USITBRIANWL2C with PID 12624 (C:\Users\brianw\workspace\pal-tracker\build\classes\java\main started by brianw in C:\Users\brianw\workspace\pal-tracker)
""2019-02-06 17:57:27 [main] DEBUG i.p.pal.tracker.PalTrackApplication - Running with Spring Boot v2.0.6.RELEASE, Spring v5.0.10.RELEASE
""2019-02-06 17:57:27 [main] INFO  i.p.pal.tracker.PalTrackApplication - No active profile set, falling back to default profiles: default
""2019-02-06 17:57:27 [main] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@1fe20588: startup date [Wed Feb 06 17:57:27 EST 2019]; root of context hierarchy
""2019-02-06 17:57:30 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 10001 (http)
""2019-02-06 17:57:30 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2019-02-06 17:57:30 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.34
""2019-02-06 17:57:30 [localhost-startStop-1] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_161\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\Program Files (x86)\Google\Chrome\Application;C:\Program Files (x86)\RSA SecurID Token Common;C:\ProgramData\DockerDesktop\version-bin;C:\Program Files\Docker\Docker\Resources\bin;C:\app\client\brianw\product\12.2.0\client_1;C:\app\client\brianw\product\12.2.0\client_1\bin;C:\Program Files\Microsoft MPI\Bin\;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files\Java\jdk1.8.0_131\bin;C:\Program Files (x86)\Common Files\EMC\;C:\Program Files\Dell\Dell Data Protection\Encryption\;C:\Program Files\Microsoft SQL Server\130\Tools\Binn\;C:\Program Files\dotnet\;C:\Program Files (x86)\GtkSharp\2.12\bin;C:\Program Files\MySQL\MySQL Utilities 1.6\;C:\DevTools\apache-maven-3.5.2\bin;C:\Program Files\Microsoft SQL Server\120\Tools\Binn\;C:\Program Files\Cloud Foundry;C:\Program Files\nodejs\;C:\Program Files\Microsoft SQL Server\Client SDK\ODBC\130\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\140\Tools\Binn\;C:\Program Files\Microsoft SQL Server\140\Tools\Binn\;C:\Program Files\Microsoft SQL Server\140\DTS\Binn\;C:\Program Files (x86)\Microsoft SQL Server\Client SDK\ODBC\130\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\140\DTS\Binn\;C:\Program Files (x86)\Microsoft SQL Server\140\Tools\Binn\ManagementStudio\;C:\Program Files\Microsoft VS Code\bin;C:\ProgramData\chocolatey\bin;C:\Program Files\Git\cmd;C:\ProgramData\chocolatey\lib\gradle\tools\gradle-5.1.1\bin;C:\Program Files\Microsoft VS Code\bin;C:\Users\brianw\AppData\Local\atom\bin;C:\Users\brianw\AppData\Roaming\npm;C:\Users\brianw\AppData\Local\Microsoft\WindowsApps;C:\Users\brianw\AppData\Local\GitHubDesktop\bin;.]
""2019-02-06 17:57:30 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2019-02-06 17:57:30 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Servlet dispatcherServlet mapped to [/]
""2019-02-06 17:57:30 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
""2019-02-06 17:57:30 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
""2019-02-06 17:57:30 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
""2019-02-06 17:57:30 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
""2019-02-06 17:57:31 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
""2019-02-06 17:57:31 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 10001 (http) with context path ''
""2019-02-06 17:57:31 [main] INFO  i.p.pal.tracker.PalTrackApplication - Started PalTrackApplication in 4.715 seconds (JVM running for 5.343)
""2019-02-06 17:57:37 [http-nio-10001-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
""2019-02-06 17:57:37 [http-nio-10001-exec-1] DEBUG i.p.p.t.c.WelcomeController - sayHello
""2019-02-06 17:57:42 [http-nio-10001-exec-3] DEBUG i.p.p.t.c.WelcomeController - sayHello
""2019-02-06 17:57:43 [http-nio-10001-exec-5] DEBUG i.p.p.t.c.WelcomeController - sayHello
"
